split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,environment,22,0.017914389692621772,0.25975873138662225,0.07079882386718851,0.16873293553456734,0.5406862985004078
val,finance,34,0.015192262939663425,0.2346616060727699,0.05842852704958341,0.1576322335850515,0.5382758010836208
val,healthcare,43,0.013963331316195626,0.20816649014591174,0.04220349529393616,0.14791566981231685,0.5348014568173608
val,demographics,35,0.011627360965910842,0.20415759779021225,0.04134802915382018,0.13778173866670929,0.5364924328667777
val,work_experience,52,0.010891705929548507,0.2210495713957495,0.03720113126922959,0.14046108519367329,0.5351110891653941
val,education,43,0.013004362254132368,0.2341074281009493,0.040503788932802445,0.14593486339912082,0.5291148133056108
val,social_issues,28,0.020379506847577212,0.22788485236602143,0.05135510290325978,0.1572898436031584,0.5378346187727792
val,lifestyle,31,0.00840828559481112,0.21904233083868954,0.03791948949482289,0.1436674953605989,0.5348382649883148
val,technology,29,0.007823661901907022,0.20841532563655024,0.033160332285244454,0.1431345788551307,0.5329892244832269
val,consumer_preferences,39,0.013125666796046046,0.2371444677067162,0.04128129414394032,0.14966799348603635,0.5325022278687893
test,demographics,43,0.01065603282657035,0.2326884707822056,0.04224141836604214,0.14443153875188813,0.5308029055595398
test,finance,36,0.014555666156189861,0.2312434478259269,0.061741976614851826,0.15590814111297913,0.5354368719789717
test,healthcare,39,0.01370369831239031,0.19036775870472605,0.03545005641090248,0.1279312474070827,0.5299734396812243
test,consumer_preferences,29,0.018509767211667156,0.22718212202443083,0.04981381033288789,0.15530644269888783,0.5325613186277193
test,environment,31,0.02329200274657562,0.25294597818592457,0.07123962390366931,0.1651858551127511,0.5377645723281368
test,education,46,0.014652386964811175,0.254982684213775,0.04780528300299758,0.16341113588643222,0.5352605801561604
test,work_experience,39,0.010665741178419877,0.21567558108232568,0.05051778412877017,0.1450406042048848,0.5343646697508984
test,lifestyle,24,0.0150132554371926,0.2313482825331423,0.03842067248908202,0.1491624286720916,0.5273894940813383
test,social_issues,35,0.018789073332465007,0.23739869041339867,0.04920923652413331,0.15048591225603442,0.5337578075272696
test,technology,36,0.009915603422137303,0.19583570003226133,0.03459857852107861,0.1225516757639528,0.5317803621292114
