split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,environment,22,0.012887029362917319,0.2186682203869793,0.055677716081762536,0.14082668617208724,0.536104448816993
val,finance,34,0.013138033135715809,0.19715924611571675,0.049410477646999525,0.14246053511385307,0.5332607626914978
val,healthcare,43,0.011121162254052477,0.19582229191176034,0.03616048169606698,0.12293747310759544,0.5338935935220053
val,demographics,35,0.011100169629009005,0.21165658548297922,0.04470059782950182,0.14114320825012378,0.5333261217389788
val,work_experience,52,0.00995895330347907,0.18816467602473497,0.039717801573850894,0.13349207155278903,0.5332800344778941
val,education,43,0.015592365561632434,0.20451678492785083,0.04547150841792888,0.13853484638729252,0.5299086695493653
val,social_issues,28,0.010679484137672718,0.19030686435742653,0.040675172323054974,0.12822332087422425,0.5341478756495884
val,lifestyle,31,0.008835861916491423,0.18972411892671315,0.039119323688163954,0.1336984295762099,0.5342109184111318
val,technology,29,0.012180229945291362,0.18649071446317542,0.0414754428602683,0.12889747413393476,0.5326222489620077
val,consumer_preferences,39,0.015031732366069202,0.20506194800730845,0.05421384480855974,0.1406834450412841,0.533080613001799
test,demographics,43,0.012666857842087419,0.19872738711925478,0.03963725539624186,0.13103749348501717,0.5336840014125026
test,finance,36,0.018398826137519794,0.2174879165993483,0.060945346981818256,0.15827184023343477,0.5307485792371962
test,healthcare,39,0.011475764622872907,0.18442094091296898,0.027695980355492457,0.1265183058471115,0.5313107065665417
test,consumer_preferences,29,0.009465120075409741,0.19229616626796814,0.04042490136317943,0.1381780743735994,0.5329904535721088
test,environment,31,0.014003593909964706,0.22239730825722995,0.057925352629929316,0.15433276504508964,0.5330381451114532
test,education,46,0.02018070587087101,0.21630075066586496,0.05743256506688568,0.15492164565429636,0.5366357785204182
test,work_experience,39,0.011023281111310465,0.1976393813632082,0.038553823214556804,0.12888415065369654,0.5292689387614911
test,lifestyle,24,0.012846530574273096,0.21419634830563797,0.046497361899375145,0.1388322374920731,0.5340414121747017
test,social_issues,35,0.011671319821699454,0.17821059255196434,0.03470545741686848,0.11759281377243634,0.533149528503418
test,technology,36,0.012748992738216754,0.20560473574157187,0.04911957304736652,0.14529077394574672,0.5312396883964539
